#1:t	2:real	3:imag
0.4649999999999999689	-8.41054886273101547e-06	2.383802077467090478e-05
0.6199999999999999956	-6.512569836094030369e-06	2.275655659895444038e-05
0.7750000000000000222	-4.631274942645259507e-06	2.165789440806970809e-05
0.9299999999999999378	-2.764813257424110987e-06	2.054089993851512363e-05
1.084999999999999964	-9.144481803752334266e-07	1.940636250589395186e-05
1.239999999999999991	9.200028484318450713e-07	1.825418113349368694e-05
1.395000000000000018	2.737888778353803784e-06	1.70847853881074252e-05
1.550000000000000044	4.539115959673078912e-06	1.589826451828143362e-05
1.705000000000000071	6.323207213093910214e-06	1.469495908933691419e-05
1.859999999999999876	8.089982676683530062e-06	1.347503168967891874e-05
2.015000000000000124	9.839041101358187431e-06	1.223879298850131561e-05
2.169999999999999929	1.157016178839050132e-05	1.098644540565280133e-05
2.325000000000000178	1.328297275161282375e-05	9.718289935094561276e-06
2.479999999999999982	1.497721486871096608e-05	8.434555607524089039e-06
2.634999999999999787	1.665251204822505146e-05	7.135542445715944683e-06
2.790000000000000036	1.830856115033597077e-05	5.821499762496179049e-06
2.94499999999999984	1.994496784481881603e-05	4.492730894716508383e-06
3.100000000000000089	2.15613945141822232e-05	3.149501960171919731e-06
3.254999999999999893	2.315744091729716168e-05	1.792121897186015935e-06
3.410000000000000142	2.473276410333380095e-05	4.208715051082074955e-07
3.564999999999999947	2.628698714374082571e-05	-9.639333948835961895e-07
3.719999999999999751	2.781979512445989793e-05	-2.36199872836920392e-06
3.875	2.933085876867586302e-05	-3.773001054105620279e-06
4.030000000000000249	3.081990833581724508e-05	-5.196634014774363736e-06
4.184999999999999609	3.228666491117565415e-05	-6.632566123856352709e-06
4.339999999999999858	3.373089637635635739e-05	-8.080479480667876233e-06
4.495000000000000107	3.515235517481925465e-05	-9.540034321573672988e-06
4.650000000000000355	3.655082282548309682e-05	-1.101090178813236587e-05
4.804999999999999716	3.792605607644235411e-05	-1.249273374163574836e-05
4.959999999999999964	3.927782606883862144e-05	-1.398519086219546772e-05
5.115000000000000213	4.060587441083945244e-05	-1.548791663970506036e-05
5.269999999999999574	4.190995047542469241e-05	-1.700056173953731507e-05
5.424999999999999822	4.31897767743588947e-05	-1.852276136200857806e-05
5.580000000000000071	4.444508491221845002e-05	-2.005415657470642168e-05
5.73500000000000032	4.567558776492828659e-05	-2.15943744271733893e-05
5.88999999999999968	4.688101282627416878e-05	-2.314304678427880815e-05
6.044999999999999929	4.806107814882949557e-05	-2.469979272296238856e-05
6.200000000000000178	4.921552159603225754e-05	-2.626423528270541911e-05
6.354999999999999538	5.034407824562122947e-05	-2.783598577422319257e-05
6.509999999999999787	5.144650494744337066e-05	-2.941465877630654308e-05
6.665000000000000036	5.252255827761315382e-05	-3.099985806293404609e-05
6.820000000000000284	5.357201500352481147e-05	-3.259119011024956439e-05
6.974999999999999645	5.459465091930332042e-05	-3.418825140602137257e-05
7.129999999999999893	5.559025858755448063e-05	-3.579064068018113649e-05
7.285000000000000142	5.655862790350500458e-05	-3.739794740414459134e-05
7.439999999999999503	5.749956244499227935e-05	-3.90097629192607306e-05
7.594999999999999751	5.84128623119045757e-05	-4.062566996750691925e-05
7.75	5.929833974417643655e-05	-4.224525286158695424e-05
7.905000000000000249	6.015580407960643511e-05	-4.386808791534815898e-05
8.060000000000000497	6.098507654923179003e-05	-4.549375277532823037e-05
8.214999999999999858	6.178597668407235512e-05	-4.712181764077801212e-05
8.369999999999999218	6.255833587351730543e-05	-4.875185385735493276e-05
8.525000000000000355	6.33019845647791882e-05	-5.038342583409472007e-05
8.679999999999999716	6.401676437883559569e-05	-5.20160989846808015e-05
8.834999999999999076	6.470251587085881209e-05	-5.364943226286924421e-05
8.990000000000000213	6.535908944678196721e-05	-5.528298552424535192e-05
9.144999999999999574	6.59863338999434624e-05	-5.691631261306230344e-05
9.300000000000000711	6.6584106658522141e-05	-5.854896820698815091e-05
9.455000000000000071	6.715226345378989489e-05	-6.018050139754937787e-05
9.609999999999999432	6.769066834869032646e-05	-6.181046207137289679e-05
9.765000000000000568	6.819918467123871168e-05	-6.343839493399659605e-05
9.919999999999999929	6.867768491433232818e-05	-6.506384547369928122e-05
10.07499999999999929	6.912604268470376879e-05	-6.668635438472244584e-05
10.23000000000000043	6.954414219082954215e-05	-6.830546315378899322e-05
10.38499999999999979	6.993187069676679349e-05	-6.992070884449634594e-05
10.53999999999999915	7.028912717679516788e-05	-7.153162934184808847e-05
10.69500000000000028	7.0615814800100953e-05	-7.313775846457329366e-05
10.84999999999999964	7.091184850471973224e-05	-7.473863089898987204e-05
11.00500000000000078	7.117714734369269363e-05	-7.633377761029481567e-05
11.16000000000000014	7.141164108797189115e-05	-7.792273049358459816e-05
11.3149999999999995	7.161526263399325932e-05	-7.950501805843771224e-05
11.47000000000000064	7.17879540431078431e-05	-8.108016982150378612e-05
11.625	7.192965940622292516e-05	-8.26477122413896018e-05
11.77999999999999936	7.20403307735231768e-05	-8.420717287421981053e-05
11.9350000000000005	7.211992178237873051e-05	-8.575807653797296861e-05
12.08999999999999986	7.216839371252042141e-05	-8.729994924995922775e-05
12.24499999999999922	7.218570989462706484e-05	-8.88323146019604691e-05
12.40000000000000036	7.217184180966411476e-05	-9.035469749659701523e-05
12.55499999999999972	7.212676402102356462e-05	-9.186662071671900897e-05
12.70999999999999908	7.205046003900141655e-05	-9.336760847619384449e-05
