#1:t	2:real	3:imag
0.4649999999999999689	-3.113772218783660191e-05	8.339594074718041574e-05
0.6199999999999999956	-2.988536364939861111e-05	8.242719043189907944e-05
0.7750000000000000222	-2.863706769182794974e-05	8.146178732197252169e-05
0.9299999999999999378	-2.739331681064062515e-05	8.051524328594673776e-05
1.084999999999999964	-2.615390309634734345e-05	7.958091507487982338e-05
1.239999999999999991	-2.491893584902353089e-05	7.866243604196186928e-05
1.395000000000000018	-2.368833987202110855e-05	7.775744346389057643e-05
1.550000000000000044	-2.246216900888106088e-05	7.686751734704579911e-05
1.705000000000000071	-2.124039987196971383e-05	7.59914425999018222e-05
1.859999999999999876	-2.002308586996656462e-05	7.513009002014690244e-05
2.015000000000000124	-1.88102413486441283e-05	7.42827127275810735e-05
2.169999999999999929	-1.760192959667897757e-05	7.344985464279782373e-05
2.325000000000000178	-1.639818514169930888e-05	7.263100474733867433e-05
2.479999999999999982	-1.519906871763456046e-05	7.182652950812057758e-05
2.634999999999999787	-1.400461168430915788e-05	7.10360529739243352e-05
2.790000000000000036	-1.281485537199427682e-05	7.025983444524818886e-05
2.94499999999999984	-1.162981239286654867e-05	6.949758234047594618e-05
3.100000000000000089	-1.044949939463548879e-05	6.874948623821378426e-05
3.254999999999999893	-9.273911145711804491e-06	6.801531072801300019e-05
3.410000000000000142	-8.103049153685091332e-06	6.729519748507255088e-05
3.564999999999999947	-6.936903246912154264e-06	6.658895036314503937e-05
3.719999999999999751	-5.775475078490662077e-06	6.589667669156998699e-05
3.875	-4.618762510125179075e-06	6.52182088005511608e-05
4.030000000000000249	-3.466777165705466701e-06	6.455362849205843528e-05
4.184999999999999609	-2.319529417957802273e-06	6.390278932283530915e-05
4.339999999999999858	-1.17704096852603994e-06	6.326575352302041353e-05
4.495000000000000107	-3.933066218464265553e-08	6.264239081834058144e-05
4.650000000000000355	1.093575764886800683e-06	6.203274804792491867e-05
4.804999999999999716	2.221657958301732625e-06	6.143670749827929458e-05
4.959999999999999964	3.344892207593965915e-06	6.085430366907962525e-05
5.115000000000000213	4.463261288322632598e-06	6.028542878951546679e-05
5.269999999999999574	5.57674603805391178e-06	5.973010731316539233e-05
5.424999999999999822	6.685333163593686546e-06	5.918823946813377515e-05
5.580000000000000071	7.789007323808305622e-06	5.865984141015949843e-05
5.73500000000000032	8.887757708403022679e-06	5.814481987941283963e-05
5.88999999999999968	9.981571009827886235e-06	5.764318407598275869e-05
6.044999999999999929	1.107043737134952482e-05	5.715484608572406043e-05
6.200000000000000178	1.215434433159237738e-05	5.6679809196950729e-05
6.354999999999999538	1.323328230560213166e-05	5.621798991553084764e-05
6.509999999999999787	1.43072392715493295e-05	5.576938644792657073e-05
6.665000000000000036	1.537620570454940907e-05	5.533391898309867815e-05
6.820000000000000284	1.644016973924496296e-05	5.491158131936280801e-05
6.974999999999999645	1.749912154002679471e-05	5.450229673732356347e-05
7.129999999999999893	1.855304886756874408e-05	5.410605517876592791e-05
7.285000000000000142	1.960194105316254737e-05	5.372278253227656534e-05
7.439999999999999503	2.064578506530113472e-05	5.335246533446322303e-05
7.594999999999999751	2.168456930270581869e-05	5.299503167862039648e-05
7.75	2.271828021252709297e-05	5.265046506713469068e-05
7.905000000000000249	2.374690595392765641e-05	5.231869545971393605e-05
8.060000000000000497	2.477043342138446068e-05	5.199970363510694819e-05
8.214999999999999858	2.578885162350877803e-05	5.169342113799053678e-05
8.369999999999999218	2.680214883803669847e-05	5.139982629028662055e-05
8.525000000000000355	2.781031551724204623e-05	5.111885198963619085e-05
8.679999999999999716	2.881334139710180155e-05	5.085047433384271432e-05
8.834999999999999076	2.98112179235659417e-05	5.059462738091486913e-05
8.990000000000000213	3.080393538186060694e-05	5.03512852067356423e-05
9.144999999999999574	3.179148506411357829e-05	5.012038286580932939e-05
9.300000000000000711	3.277385665320206896e-05	4.990189258507649766e-05
9.455000000000000071	3.37510404083715164e-05	4.969575027204686666e-05
9.609999999999999432	3.472302498180632299e-05	4.950192645150374896e-05
9.765000000000000568	3.568979973408555132e-05	4.932035775699642003e-05
9.919999999999999929	3.665135293930949054e-05	4.915101313698573907e-05
10.07499999999999929	3.760767410531934955e-05	4.899382984011935361e-05
10.23000000000000043	3.855875233409919277e-05	4.884877534940008502e-05
10.38499999999999979	3.950457841280202964e-05	4.871578743365584743e-05
10.53999999999999915	4.044514309532487887e-05	4.859483221064799197e-05
10.69500000000000028	4.138043882554162586e-05	4.848584788927516245e-05
10.84999999999999964	4.231045787773702075e-05	4.838879931330269176e-05
11.00500000000000078	4.323519377536767479e-05	4.830362506332489247e-05
11.16000000000000014	4.41546394205647526e-05	4.823028879130510994e-05
11.3149999999999995	4.506878841010629379e-05	4.81687293896226174e-05
11.47000000000000064	4.597763334792608991e-05	4.811890939123000593e-05
11.625	4.688116723702583007e-05	4.80807679464481796e-05
11.77999999999999936	4.777938207395400217e-05	4.805426653335012323e-05
11.9350000000000005	4.867227035018049263e-05	4.803934451159203657e-05
12.08999999999999986	4.955982386901512833e-05	4.80359623614675849e-05
12.24499999999999922	5.044203524845038773e-05	4.804405960890015514e-05
12.40000000000000036	5.131889680692463949e-05	4.806359578858077368e-05
12.55499999999999972	5.219040192556291373e-05	4.809451055553739276e-05
12.70999999999999908	5.305654387890666181e-05	4.813676254758779877e-05
12.86500000000000021	5.391731699405019607e-05	4.819029151742829764e-05
13.01999999999999957	5.47727154130737154e-05	4.825505525189143212e-05
13.17500000000000071	5.562273410029756253e-05	4.833099357469007183e-05
13.33000000000000007	5.64673676179886896e-05	4.841806346447007135e-05
13.48499999999999943	5.730661108929467536e-05	4.851620479268263676e-05
13.64000000000000057	5.814045908028733718e-05	4.862537376886576852e-05
13.79499999999999993	5.896890659347799865e-05	4.874551029090199025e-05
13.94999999999999929	5.979194808555706044e-05	4.887656983402297598e-05
14.10500000000000043	6.060957848751376644e-05	4.901849230220349654e-05
14.25999999999999979	6.142179231377067027e-05	4.917123246711603291e-05
14.41499999999999915	6.222858465121315868e-05	4.933473021966449236e-05
14.57000000000000028	6.302995029261923544e-05	4.950893965593218006e-05
14.72499999999999964	6.382588464599029841e-05	4.969380063697862408e-05
14.87999999999999901	6.461638286157740858e-05	4.98892666105298259e-05
15.03500000000000014	6.540144066364978197e-05	5.009527739502470274e-05
15.1899999999999995	6.618105349265234675e-05	5.031178581791176542e-05
15.34500000000000064	6.695521730144910421e-05	5.053873164650006804e-05
15.5	6.772392775306254056e-05	5.077606711650355396e-05
15.65499999999999936	6.848718101747354957e-05	5.102373193813924409e-05
15.8100000000000005	6.924497303866394176e-05	5.1281677782043617e-05
15.96499999999999986	6.999730032785320426e-05	5.154984429475082248e-05
16.12000000000000099	7.074415927163499643e-05	5.182818260408615467e-05
16.27499999999999858	7.148554688435505974e-05	5.211663228384678768e-05
16.42999999999999972	7.222146011375117516e-05	5.241514393664974792e-05
16.58500000000000085	7.295189652044245141e-05	5.272365705324510814e-05
16.73999999999999844	7.367685356238067864e-05	5.304212172694892609e-05
16.89499999999999957	7.439632920740733065e-05	5.3370477357413701e-05
17.05000000000000071	7.511032121996453147e-05	5.370867354661670265e-05
17.20499999999999829	7.581882774820592743e-05	5.405664960008944376e-05
17.35999999999999943	7.652184665780283469e-05	5.441435464971654712e-05
17.51500000000000057	7.721937613707375182e-05	5.478172790785142214e-05
17.66999999999999815	7.791141410513976616e-05	5.515871805803798623e-05
17.82499999999999929	7.859795884539272598e-05	5.554526422013037802e-05
17.98000000000000043	7.927900847450732133e-05	5.594131464724888064e-05
18.13500000000000156	7.995456157467513598e-05	5.634680836363466883e-05
18.28999999999999915	8.06246166799522672e-05	5.676169320441951951e-05
18.44500000000000028	8.128917286340760283e-05	5.718590809177923111e-05
18.60000000000000142	8.194822920137914419e-05	5.761940045264032521e-05
18.75499999999999901	8.260178529232035168e-05	5.806210910172929961e-05
18.91000000000000014	8.324984069217482611e-05	5.851398106997005499e-05
19.06500000000000128	8.389239537878114981e-05	5.897495506460092663e-05
19.21999999999999886	8.452944918560664159e-05	5.944497773793803232e-05
19.375	8.516100224987908213e-05	5.992398769541223567e-05
19.53000000000000114	8.578705448261686071e-05	6.041193123123626244e-05
19.68499999999999872	8.640760603425418074e-05	6.090874685631804207e-05
19.83999999999999986	8.702265682159730927e-05	6.141438052519381191e-05
19.99500000000000099	8.763220701862497054e-05	6.192877065778829764e-05
20.14999999999999858	8.823625663196173468e-05	6.245186288124722387e-05
20.30499999999999972	8.883480599801573557e-05	6.298359552215013744e-05
20.46000000000000085	8.942785537949776546e-05	6.352391388657685554e-05
20.61499999999999844	9.001540544138223398e-05	6.407275620190974459e-05
20.76999999999999957	9.059745684332993012e-05	6.463006745767349006e-05
20.92500000000000071	9.117401067845331154e-05	6.519578577756731015e-05
21.07999999999999829	9.174506805439767152e-05	6.576985584192961999e-05
21.23499999999999943	9.231063049878443678e-05	6.635221567109062359e-05
21.39000000000000057	9.287069953932921055e-05	6.694280964827890586e-05
21.54499999999999815	9.342527709169410688e-05	6.754157569553170142e-05
21.69999999999999929	9.397436505342607826e-05	6.814845791395183203e-05
21.85500000000000043	9.451796568647191231e-05	6.876339413412234434e-05
22.01000000000000156	9.505608123011794787e-05	6.938632818942663328e-05
22.16499999999999915	9.558871427748739729e-05	7.00171978241987986e-05
22.32000000000000028	9.611586739977498255e-05	7.065594661553069235e-05
22.47500000000000142	9.663754350633970954e-05	7.130251222391417937e-05
22.62999999999999901	9.715374546828711255e-05	7.195683797866298176e-05
