#1:time	2:real	3:imag	4:ampl	5:phse
360.5600000000000023	0.0007889687154853250927	-0.001735190237726937047	0.001906136615019350666	23.98868982684888707
360.6399999999999864	0.0008034794017438626331	-0.001728590769828692664	0.001906201772783675755	23.99705258671172103
360.7200000000000273	0.000817936118072818243	-0.001721869663196042791	0.001906267198029406792	24.00541599625531575
360.8000000000000114	0.0008323378316814437081	-0.001715027364223175319	0.0019063329001206635	24.01378004686836221
360.8799999999999955	0.0008466835101021565708	-0.00170806433105462124	0.001906398889346083226	24.02214472762538122
360.9599999999999795	0.0008609721216540629045	-0.001700981034051229131	0.00190646517735506703	24.03051002532781055
361.0400000000000205	0.0008752026359904968664	-0.001693777956121619854	0.001906531777518603692	24.03887592460272415
361.1200000000000045	0.000889374024701264647	-0.001686455592900208645	0.001906598705191451691	24.04724240805246183
361.1999999999999886	0.0009034852619365264922	-0.001679014452756024886	0.001906665977852473135	24.05560945644710813
361.2800000000000296	0.0009175353250185221089	-0.001671455056626945613	0.001906733615107425147	24.06397704894952483
361.3600000000000136	0.0009315231950070713279	-0.001663777937678546969	0.001906801638540847653	24.07234516336205843
361.4399999999999977	0.0009454478571879298791	-0.001655983640797234913	0.001906870071412657434	24.08071377638337651
361.5199999999999818	0.0009593083014565160788	-0.001648072721931099528	0.001906938938198276179	24.08908286386452957
361.6000000000000227	0.0009731035225756376125	-0.00164004574730179588	0.001907008263980998052	24.09745240105360153
361.6800000000000068	0.0009868325202920772039	-0.001631903292512408045	0.001907078073708271459	24.10582236282033719
361.7599999999999909	0.001000494299305208865	-0.001623645941584079102	0.001907148391333163143	24.11419272385325741
361.8400000000000318	0.001014087869088311188	-0.001615274285953230589	0.00190721923886421371	24.12256345882456188
361.9200000000000159	0.001027612243571999606	-0.001606788923466024189	0.001907290635354817656	24.13093454251979608
362	0.001041066440706522054	-0.001598190457403080456	0.001907362595863621802	24.13930594993225043
362.0799999999999841	0.001054449481927233851	-0.001589479495569025898	0.00190743513042278246	24.14767765632388219
362.160000000000025	0.001067760391553012949	-0.001580656649475323727	0.001907508243049030588	24.15604963725714072
362.2400000000000091	0.001080998196152442928	-0.00157172253364383117	0.001907581930835113406	24.16442186860341224
362.3199999999999932	0.00109416192391482937	-0.001562677765050224073	0.00190765618315443951	24.17279432653577587
362.4000000000000341	0.001107250604064732641	-0.001553522962724122967	0.001907730981011959226	24.18116698751392946
362.4800000000000182	0.001120263266357240332	-0.00154425874751314726	0.00190780629656688884	24.18953982827033755
362.5600000000000023	0.001133198940689126612	-0.001534885742015526435	0.00190788209285099996	24.19791282580556313
362.6399999999999864	0.001146056656855946702	-0.001525404570676257288	0.001907958323696785051	24.20628595740086197
362.7200000000000273	0.001158835444479843109	-0.001515815860039894988	0.001908034933886505746	24.21465920065397626
362.8000000000000114	0.001171534333125219584	-0.001506120239144557353	0.001908111859522918863	24.2230325335433605
362.8799999999999955	0.001184152352612057122	-0.001496318340041241212	0.001908189028618612927	24.23140593452311364
362.9599999999999795	0.001196688533527842354	-0.001486410798415966879	0.00190826636189097296	24.23977938264967946
363.0400000000000205	0.001209141907931393428	-0.001476398254293689481	0.001908343773746602441	24.24815285773830453
363.1200000000000045	0.001221511510233398712	-0.001466281352798607437	0.001908421173430433415	24.25652634054594614
363.1999999999999886	0.00123379637823230171	-0.001456060744948909757	0.001908498466313326503	24.26489981297453724
363.2800000000000296	0.001245995554277432504	-0.001445737088461539633	0.001908575555285243596	24.2732732582877837
363.3600000000000136	0.001258108086527908072	-0.00143531104854794484	0.001908652342222311301	24.28164666133269378
363.4399999999999977	0.001270133030272176588	-0.001424783298680519549	0.001908728729491785282	24.29002000875711431
363.5199999999999818	0.001282069449272647344	-0.001414154521315952795	0.001908804621462506079	24.29839328921350727
363.6000000000000227	0.001293916417100147596	-0.001403425408561059361	0.00190887992598698028	24.30676649354063912
363.6800000000000068	0.001305673018425345267	-0.001392596662773359266	0.001908954555826683106	24.31513961491463505
363.7599999999999909	0.001317338350237838443	-0.001381668997088043166	0.001909028429993023723	24.32351264896326981
363.8400000000000318	0.00132891152296855399	-0.001370643135868698402	0.00190910147498308245	24.33188559383825833
363.9200000000000159	0.001340391661496483479	-0.001359519815078133681	0.001909173625891418457	24.34025845024324042
364	0.001351777906027436856	-0.001348299782570141353	0.00190924482738663256	24.34863122141661762
364.0799999999999841	0.001363069412838090059	-0.001336983798300744875	0.001909315034543399361	24.35700391307160118
364.160000000000025	0.001374265354885484446	-0.001325572634461134143	0.001909384213528214289	24.3653765332972263
364.2400000000000091	0.001385364922286844592	-0.001314067075530506471	0.00190945234213795779	24.37374909242730325
364.3199999999999932	0.001396367322679734849	-0.00130246791825030855	0.001909519410196990671	24.3821216028848049
364.4000000000000341	0.001407271781475636892	-0.001290775971516546329	0.001909585419818159505	24.39049407901186228
364.4800000000000182	0.001418077542022457959	-0.001278992056189474794	0.001909650385537686994	24.3988665368951807
364.5600000000000023	0.001428783865691806961	-0.001267117004815651897	0.001909714334332287622	24.40723899419807807
364.6399999999999864	0.001439390031906496352	-0.001255151661259961641	0.001909777305529476157	24.41561147000890841
364.7200000000000273	0.001449895338121093497	-0.001243096880241975188	0.00190983935061894987	24.42398398471556575
364.8000000000000114	0.001460299099765655778	-0.001230953526774733551	0.001909900532974306364	24.43235655991331257
364.8799999999999955	0.001470600650157638089	-0.001218722475501990855	0.001909960927489818714	24.44072921835172352
364.9599999999999795	0.001480799340382811004	-0.001206404609935697765	0.001910020620137979283	24.44910198392299705
365.0400000000000205	0.001490894539140071766	-0.001194000821594871963	0.001910079707448596523	24.45747488169189054
365.1200000000000045	0.001500885632540473538	-0.001181512009054494798	0.001910138295911164089	24.46584793796310464
365.1999999999999886	0.001510772023845551471	-0.001168939076913793826	0.001910196501297826239	24.47422118037995276
365.2800000000000296	0.00152055313312709486	-0.001156282934702039305	0.001910254447906295288	24.48259463804373581
365.3600000000000136	0.001530228396827206308	-0.001143544495741267509	0.001910312267718686794	24.49096834164175718
365.4399999999999977	0.001539797267197356989	-0.001130724675993924734	0.001910370099475495543	24.4993423235684098
365.5199999999999818	0.001549259211595388442	-0.0011178243929244637	0.001910428087662582094	24.50771661802349399
365.6000000000000227	0.001558613711622536214	-0.001104844564410854867	0.001910486381413379698	24.51609126106982472
365.6800000000000068	0.001567860262086525572	-0.001091786107741090327	0.001910545133328827834	24.52446629063387107
365.7599999999999909	0.001576998369783380594	-0.001078649938733931184	0.001910604498223050264	24.53284174643285453
365.8400000000000318	0.00158602755209745613	-0.001065436971019032659	0.001910664631803933242	24.54121766981538144
365.9200000000000159	0.001594947335428393165	-0.001052148115512172239	0.001910725689303921721	24.54959410350440052
366	0.001603757253461890074	-0.001038784280113357701	0.001910787824077349491	24.55797109123653854
366.0799999999999841	0.001612456845311074785	-0.001025346369652396696	0.001910851186186379334	24.56634867729513871
366.160000000000025	0.001621045653563117899	-0.001011835286095121543	0.001910915920997852862	24.57472690594066478
366.2400000000000091	0.001629523222273801704	-0.0009982519290173109093	0.001910982167817475066	24.5831058207460238
366.3199999999999932	0.001637889094958389904	-0.0009845971963396427107	0.001911050058586508766	24.59148546385091549
366.4000000000000341	0.001646142812631445603	-0.0009708719853095986634	0.001911119716667997919	24.59986587515259515
366.4800000000000182	0.001654283911949853622	-0.0009570771937020502475	0.001911191255746190953	24.60824709145633804
366.5600000000000023	0.001662311923512784341	-0.0009432137212037214552	0.001911264778862349157	24.6166291456105526
366.6399999999999864	0.001670226370368918609	-0.0009292824709342340167	0.001911340377604514367	24.62501206565548628
366.7200000000000273	0.001678026766775780887	-0.0009152843510526915147	0.001911418131466249143	24.63339587401418029
366.8000000000000114	0.001685712617248042193	-0.0009012202763900994951	0.001911498107382241744	24.64178058675572558
366.8799999999999955	0.001693283415922014132	-0.0008870911700485569493	0.001911580359444677545	24.65016621295804811
366.9599999999999795	0.001700738646252276335	-0.0008728979649043588614	0.001911664928796413462	24.65855275419649928
367.0400000000000205	0.001708077781044676753	-0.0008586416049579983492	0.001911751843692939675	24.66694020417933686
367.1200000000000045	0.001715300282817414784	-0.0008443230464756151452	0.001911841119717683744	24.67532854854803048
367.1999999999999886	0.001722405604470357435	-0.0008299432588771310819	0.001911932760132136573	24.68371776485353308
