#1:time	2:real	3:imag	4:ampl	5:phse
325.4666666666666401	0.001424568809882204674	0.002307137519208052757	0.00271150877310524091	-24.11510496596410036
325.6000000000000227	0.001461003256286075259	0.00228410578251860355	0.002711396271409518156	-24.13100198658166562
325.7333333333333485	0.001496953983301578485	0.002260543787321851218	0.002711259751945925382	-24.14685555039804044
325.8666666666666742	0.001532426401274765947	0.002236455920736278493	0.002711100470421611962	-24.16267083726622289
326	0.001567427216240142472	0.002211845832968717049	0.002710920520235036383	-24.17845347747280371
326.1333333333333258	0.001601964168611643737	0.002186716420201532431	0.00271072276337780459	-24.19420946576238052
326.2666666666666515	0.001636045758166784162	0.002161069816973242366	0.00271051074092103347	-24.20994507331239021
326.3999999999999773	0.001669680959204386701	0.00213490739996028767	0.002710288566174251079	-24.22566675868311847
326.533333333333303	0.001702878929982698172	0.00210822980488263069	0.002710060803815013061	-24.24138107873302417
326.6666666666666856	0.001735648720750786753	0.002081036957965073236	0.002709832338404051001	-24.25709460047566068
326.8000000000000114	0.001767998984835896436	0.002053328123024926281	0.00270960823573922335	-24.27281381484553435
326.9333333333333371	0.001799937697359467849	0.002025101964830705419	0.002709393600482751241	-24.28854505334168579
327.0666666666666629	0.001831471886190463123	0.001996356628925869629	0.002709193433434075454	-24.30429440851204603
327.1999999999999886	0.001862607379723924244	0.00196708983764237429	0.002709012491731613553	-24.32006765923164693
327.3333333333333144	0.001893348575961518055	0.001937299001577271916	0.002708855155154627891	-24.33587020169643722
327.4666666666666401	0.001923698237188200665	0.001906981345370847673	0.002708725301567768522	-24.35170698700611069
327.6000000000000227	0.001953657314251709427	0.001876134046234624424	0.002708626194396322826	-24.36758246612895817
327.7333333333333485	0.001983224804080626746	0.001844754383321953271	0.002708560384836601869	-24.38350054293829672
327.8666666666666742	0.002012397643592464883	0.001812839895730987329	0.002708529631274216379	-24.39946453587274533
328	0.002041170642570754989	0.001780388546663259084	0.002708534838096497439	-24.4154771486155262
328.1333333333333258	0.002069536457407119417	0.001747398891043838156	0.002708576015724580791	-24.43154045000574115
328.2666666666666515	0.00209748560684449659	0.001713870243721923002	0.002708652263254785354	-24.44765586320605877
328.3999999999999773	0.002125006530008683239	0.00167980284522895474	0.002708761774578716339	-24.46382416395418602
328.533333333333303	0.002152085686121893871	0.0016451980219576905	0.002708901868260317914	-24.48004548754163068
328.6666666666666856	0.002178707694352735244	0.001610058337560973246	0.002709069040792688385	-24.49631934399064903
328.8000000000000114	0.002204855511326236917	0.001574387732341101832	0.00270925904216851119	-24.51264464075922689
328.9333333333333371	0.002230510642902255088	0.001538191647436261671	0.002709466971997059014	-24.52901971219025867
329.0666666666666629	0.002255653385988776356	0.001501477130701009887	0.002709687393730274632	-24.54544235484991432
329.1999999999999886	0.002280263095396025969	0.001464252921351643722	0.002709914463947504012	-24.5619098678622656
329.3333333333333144	0.002304318470112916555	0.001426529510694925749	0.00271014207313694834	-24.57841909735191166
329.4666666666666401	0.002327797852897752796	0.001388319176604372023	0.002710363994020513392	-24.59496648413827558
329.6000000000000227	0.002350679536763946274	0.00134963598983535351	0.002710574033229790764	-24.6115481138886949
