#1:t	2:real	3:imag
0.4649999999999999689	-3.219767911869836672e-05	-5.052591238898190666e-05
0.6199999999999999956	-3.005500054801638087e-05	-4.920340923788539685e-05
0.7750000000000000222	-2.793062402315523349e-05	-4.786660013848908059e-05
0.9299999999999999378	-2.582279884558941408e-05	-4.651539777485651461e-05
1.084999999999999964	-2.373279301953264587e-05	-4.51500882457736845e-05
1.239999999999999991	-2.166048393874751032e-05	-4.377079429814625434e-05
1.395000000000000018	-1.960653828134414152e-05	-4.237774173613562416e-05
1.550000000000000044	-1.757105690914019291e-05	-4.097109763676764658e-05
1.705000000000000071	-1.555447267538090901e-05	-3.955107956794051482e-05
1.859999999999999876	-1.355689466473143569e-05	-3.811787663491192699e-05
2.015000000000000124	-1.15786165721026612e-05	-3.667170922117464233e-05
2.169999999999999929	-9.619744602500843167e-06	-3.521278209531274845e-05
2.325000000000000178	-7.680534655775765731e-06	-3.374132213497555582e-05
2.479999999999999982	-5.761153879084162131e-06	-3.225754722909293139e-05
2.634999999999999787	-3.861912982317955953e-06	-3.076169227049681265e-05
2.790000000000000036	-1.983087274624175524e-06	-2.925398700696522566e-05
2.94499999999999984	-1.250714332680021819e-07	-2.773467503557696829e-05
3.100000000000000089	1.711772208625981539e-06	-2.620399721509290757e-05
3.254999999999999893	3.527011513788931581e-06	-2.466220614945994496e-05
3.410000000000000142	5.320273419069047527e-06	-2.310955329542019047e-05
3.564999999999999947	7.091167325326089818e-06	-2.154630037041800497e-05
3.719999999999999751	8.839384738505007746e-06	-1.997270904263017958e-05
3.875	1.056462787297707106e-05	-1.838905014829302919e-05
4.030000000000000249	1.226667810926334753e-05	-1.679559525649943722e-05
4.184999999999999609	1.394532334939894406e-05	-1.519262426866195071e-05
4.339999999999999858	1.560040339069452168e-05	-1.358041838473147755e-05
4.495000000000000107	1.723174129768657346e-05	-1.19592664714814417e-05
4.650000000000000355	1.883917907436904896e-05	-1.032945910275739318e-05
4.804999999999999716	2.042252124270212287e-05	-8.691293969394837366e-06
4.959999999999999964	2.19815710667138129e-05	-7.045070761984341039e-06
5.115000000000000213	2.351608960047133954e-05	-5.391095821970630216e-06
5.269999999999999574	2.502583504317096462e-05	-3.729677699217369983e-06
5.424999999999999822	2.651053388418274503e-05	-2.061131192951552701e-06
5.580000000000000071	2.796992002832818618e-05	-3.85773458204826215e-07
5.73500000000000032	2.940371168446240274e-05	1.29607245200558638e-06
5.88999999999999968	3.081164585953423673e-05	2.984081029213108881e-06
6.044999999999999929	3.219345617071798176e-05	4.677921181723695843e-06
6.200000000000000178	3.354890081333451388e-05	6.3772593031641069e-06
6.354999999999999538	3.487773982116172162e-05	8.081756493295155305e-06
6.509999999999999787	3.617975741130186328e-05	9.791071312851704612e-06
6.665000000000000036	3.745473949876327474e-05	1.150485729977812593e-05
6.820000000000000284	3.870249242370145442e-05	1.322276545744863969e-05
6.974999999999999645	3.992282192570135665e-05	1.494444202258247807e-05
7.129999999999999893	4.11155498550983716e-05	1.666953072441188278e-05
7.285000000000000142	4.22804952216250212e-05	1.839767076849078688e-05
7.439999999999999503	4.341748971567148521e-05	2.012849889785231185e-05
7.594999999999999751	4.452636089249994625e-05	2.186164756399218125e-05
7.75	4.560694684946523067e-05	2.359674681627707226e-05
7.905000000000000249	4.665908136041132295e-05	2.533342263682674983e-05
8.060000000000000497	4.768260781350083289e-05	2.707129868045452358e-05
8.214999999999999858	4.867736596378225642e-05	2.880999475410222217e-05
8.369999999999999218	4.964320503282962111e-05	3.054912842589653987e-05
8.525000000000000355	5.057997162342763421e-05	3.228831363244099499e-05
8.679999999999999716	5.148752177853475691e-05	3.402716217222957523e-05
8.834999999999999076	5.236570965833581639e-05	3.576528242628363406e-05
8.990000000000000213	5.321439850588247696e-05	3.750228074865122275e-05
9.144999999999999574	5.403344998504048353e-05	3.923776028781837639e-05
9.300000000000000711	5.48227343152869802e-05	4.097132228511953547e-05
9.455000000000000071	5.558212047846108759e-05	4.270256498614678731e-05
9.609999999999999432	5.631148594745474432e-05	4.443108485658139222e-05
9.765000000000000568	5.70107079795582978e-05	4.615647557448153215e-05
9.919999999999999929	5.76796731613377287e-05	4.787832917198169632e-05
10.07499999999999929	5.831826967289250295e-05	4.959623510078944685e-05
10.23000000000000043	5.892639644599214174e-05	5.1309781307164961e-05
10.38499999999999979	5.950395590341465361e-05	5.301855336393529418e-05
10.53999999999999915	6.005086225542600467e-05	5.472213548534037659e-05
10.69500000000000028	6.056703415451219032e-05	5.64201097196789992e-05
10.84999999999999964	6.105240179633202957e-05	5.811205690968488622e-05
11.00500000000000078	6.150689927768899395e-05	5.979755594045810138e-05
11.16000000000000014	6.193047063087602497e-05	6.147618465025484955e-05
11.3149999999999995	6.232306217848786927e-05	6.314751912879524589e-05
11.47000000000000064	6.268462805712990177e-05	6.481113458253744293e-05
11.625	6.301512314484064385e-05	6.646660467898312416e-05
11.77999999999999936	6.331450869732064657e-05	6.811350237003310889e-05
11.9350000000000005	6.358274628176296484e-05	6.97513992782640874e-05
12.08999999999999986	6.381980381430055497e-05	7.137986648160504896e-05
12.24499999999999922	6.402565048767764981e-05	7.299847393813185771e-05
12.40000000000000036	6.420026301380085828e-05	7.460679123513090552e-05
12.55499999999999972	6.434362111075696007e-05	7.620438704951527215e-05
