900000014 1000 1724.24402 3.7455226901 1.0418598756e-22 96.6723421223 171.2183237276 0.0538926630 10.0024420024
900000024 1000 1725.026 3.2625887015 1.0301139818e-22 83.8968511041 155.7135057787 0.0538483311 10.0024420024
900000034 1000 1725.81104 12.1939552157 1.4118246412e-22 131.8202018421 203.7861640709 0.0602898681 10.0024420024
900000044 1000 1726.59802 5.7473530337 1.1333616197e-22 117.9419801930 192.3744455653 0.0545069568 10.0024420024
900000054 1000 1727.38599 10.1040774371 1.3122295253e-22 129.8689667125 202.2708513457 0.0576356950 10.0024420024
900000064 1000 1728.17798 4.2910936394 1.0983331987e-22 102.8717056125 177.8684874134 0.0540698485 10.0024420024
900000074 1000 1728.97205 7.5750771953 1.2187111490e-22 124.8432990152 198.2340121070 0.0554988350 10.0024420024
900000084 1000 1729.76794 7.6460920766 1.2573281403e-22 124.4723532788 197.9561901919 0.0552668546 10.0024420024
900000094 1000 1730.56604 13.8376638390 1.5764157922e-22 132.1048151225 204.0112507114 0.0610303978 10.0024420024
900000104 1000 1731.36694 6.2300717708 1.2150917090e-22 118.1106435009 192.4974380494 0.0546479890 10.0024420024
