900000014 1000 1724.24402 8.7985116851 1.1392341152e-22 123.7539214776 197.5316622242 0.1805792979 10.0000000000
900000024 1000 1725.026 9.4249314276 1.2297588735e-22 121.5996581341 195.9089870780 0.1866289886 10.0000000000
900000034 1000 1725.81104 5.2618669494 1.1162212020e-22 77.8875755601 150.5853082889 0.1853788517 10.0000000000
900000044 1000 1726.59802 8.4514245588 1.1265225865e-22 123.3422784562 197.1516050656 0.1775421054 10.0000000000
900000054 1000 1727.38599 7.5657094986 1.2367415610e-22 105.6209041961 181.9580550306 0.1894876900 10.0000000000
900000064 1000 1728.17798 9.7314454823 1.2918301605e-22 121.0772502029 195.4872704940 0.1875686484 10.0000000000
900000074 1000 1728.97205 9.0751971081 1.3089302743e-22 115.6889492605 191.0343371156 0.1898573127 10.0000000000
900000084 1000 1729.76794 8.3086407180 1.1529882119e-22 121.5979755863 195.7242103290 0.1755411898 10.0000000000
900000094 1000 1730.56604 3.9508678190 1.1127967590e-22 32.4878524678 46.3001167873 0.1800469985 10.0000000000
900000104 1000 1731.36694 9.9371816749 1.3728350829e-22 119.2573702799 194.0055243761 0.1889995742 10.0000000000
